03.05.2012 07:07:07 | Debug | plupload context initialized: #end#
03.05.2012 07:28:40 | Debug | embedded configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:28:40 | Debug | custom application configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:28:40 | Debug | merged configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:28:40 | Debug | create plupload... #end#
03.05.2012 07:28:46 | Debug | create plupload... #end#
03.05.2012 07:28:49 | Debug | create plupload... #end#
03.05.2012 07:28:51 | Debug | create plupload... #end#
03.05.2012 07:28:54 | Debug | create plupload... #end#
03.05.2012 07:28:56 | Debug | create plupload... #end#
03.05.2012 07:28:59 | Debug | create plupload... #end#
03.05.2012 07:29:00 | Debug | create plupload... #end#
03.05.2012 07:29:02 | Debug | create plupload... #end#
03.05.2012 07:29:08 | Debug | create plupload... #end#
03.05.2012 07:31:47 | Debug | create plupload... #end#
03.05.2012 07:31:48 | Debug | create plupload... #end#
03.05.2012 07:31:51 | Debug | create plupload... #end#
03.05.2012 07:33:03 | Debug | plupload context initialized: #end#
03.05.2012 07:33:03 | Debug | embedded configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:33:03 | Debug | custom application configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:33:03 | Debug | merged configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:33:03 | Debug | create plupload... #end#
03.05.2012 07:38:18 | Debug | create plupload... #end#
03.05.2012 07:38:20 | Debug | create plupload... #end#
03.05.2012 07:38:23 | Debug | create plupload... #end#
03.05.2012 07:38:27 | Debug | create plupload... #end#
03.05.2012 07:38:30 | Debug | create plupload... #end#
03.05.2012 07:38:47 | Debug | create plupload... #end#
03.05.2012 07:38:48 | Debug | create plupload... #end#
03.05.2012 07:38:49 | Debug | create plupload... #end#
03.05.2012 07:38:50 | Debug | create plupload... #end#
03.05.2012 07:38:51 | Debug | create plupload... #end#
03.05.2012 07:38:53 | Debug | create plupload... #end#
03.05.2012 07:38:54 | Debug | create plupload... #end#
03.05.2012 07:39:25 | Debug | plupload context initialized: #end#
03.05.2012 07:39:25 | Debug | embedded configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:39:25 | Debug | custom application configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:39:25 | Debug | merged configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:39:25 | Debug | create plupload... #end#
03.05.2012 07:39:33 | Debug | create plupload... #end#
03.05.2012 07:39:37 | Debug | create plupload... #end#
03.05.2012 07:39:39 | Debug | create plupload... #end#
03.05.2012 07:39:46 | Debug | create plupload... #end#
03.05.2012 07:40:18 | Debug | create plupload... #end#
03.05.2012 07:41:27 | Debug | create plupload... #end#
03.05.2012 07:41:40 | Debug | receive uploaded file... #end#
03.05.2012 07:41:40 | Debug | file 'bmw_izetta_1.jpg' successfull received. #end#
03.05.2012 07:41:40 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\bmw_izetta_1.jpg' #end#
03.05.2012 07:41:40 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\bmw_izetta_1.jpg' was successful saved! #end#
03.05.2012 07:41:40 | Debug | receive uploaded file... #end#
03.05.2012 07:41:40 | Debug | file 'Finka-Grundstück1.jpg' successfull received. #end#
03.05.2012 07:41:40 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\Finka-Grundstück1.jpg' #end#
03.05.2012 07:41:40 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\Finka-Grundstück1.jpg' was successful saved! #end#
03.05.2012 07:41:41 | Debug | receive uploaded file... #end#
03.05.2012 07:41:41 | Debug | file 'SPKarte.jpg' successfull received. #end#
03.05.2012 07:41:41 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\SPKarte.jpg' #end#
03.05.2012 07:41:41 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\SPKarte.jpg' was successful saved! #end#
03.05.2012 07:42:04 | Debug | create plupload... #end#
03.05.2012 07:42:17 | Debug | create plupload... #end#
03.05.2012 07:43:24 | Debug | plupload context initialized: #end#
03.05.2012 07:43:24 | Debug | embedded configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:43:24 | Debug | custom application configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:43:24 | Debug | merged configuration: Plupload.Net.Model.PluploadConfiguration #end#
03.05.2012 07:43:24 | Debug | create plupload... #end#
03.05.2012 07:43:27 | Debug | create plupload... #end#
03.05.2012 07:43:36 | Debug | create plupload... #end#
03.05.2012 07:43:46 | Debug | receive uploaded file... #end#
03.05.2012 07:43:46 | Debug | file 'bmw_izetta_1.jpg' successfull received. #end#
03.05.2012 07:43:46 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\bmw_izetta_1.jpg' #end#
03.05.2012 07:43:46 | Debug | file 'bmw_izetta_1.jpg' already exists, increase nameindex #end#
03.05.2012 07:43:46 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\bmw_izetta_11.jpg' was successful saved! #end#
03.05.2012 07:43:46 | Debug | receive uploaded file... #end#
03.05.2012 07:43:46 | Debug | file 'desktop.ini' successfull received. #end#
03.05.2012 07:43:46 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\desktop.ini' #end#
03.05.2012 07:43:46 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\desktop.ini' was successful saved! #end#
03.05.2012 07:43:47 | Debug | receive uploaded file... #end#
03.05.2012 07:43:47 | Debug | file 'Finka-Grundstück1.jpg' successfull received. #end#
03.05.2012 07:43:47 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\Finka-Grundstück1.jpg' #end#
03.05.2012 07:43:47 | Debug | file 'Finka-Grundstück1.jpg' already exists, increase nameindex #end#
03.05.2012 07:43:47 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\Finka-Grundstück11.jpg' was successful saved! #end#
03.05.2012 07:43:47 | Debug | receive uploaded file... #end#
03.05.2012 07:43:47 | Debug | file 'invert[1].png' successfull received. #end#
03.05.2012 07:43:47 | Debug | try to save the file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\invert[1].png' #end#
03.05.2012 07:43:47 | Debug | file 'E:\DEVELOPMENT\Anwendungen\Plupload.Net\Plupload.Net.Example\PluploadUploadFolder\invert[1].png' was successful saved! #end#
